case_id,customer_query,true_intent,true_escalate,reference_criteria
case_2296817,When are you going to have the Stranger Things monopoly in stock on the UK site???,PRODUCT_AVAILABILITY_AND_INQUIRY,False,"Provide details on product availability, features, or direct the user to the correct catalog page."
case_1502859,"login &gt; says im authorized to my merchant based on CID/MCID &gt; ""go to homepage button"" isn't working, redirects to same page.",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_927475,thanks for posting this early and free of charge! 😁 [LINK],PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_382878,I've just had the most rude delivery person. Not happy.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide the current tracking status and apologize for any delivery delays.
case_168012,"What can i do? If i want to start delivery providing business with amazon .. because already i have tried alot of times to call Amazon support team and customer care, Kindly give me the information about ATS and procedures to start the business...",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2965343,"Was waiting for a parcel from that I ordered 18th Nov. Was a little worried that it still hadn’t arrived, so went to investigate. Had been chucked over gate round side of the house and sat there for 8 days with no note. Box sodden, yet to check products inside. [LINK]",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_1185803,Yo when can I expect Mario Odyssey to be shipped? Order says delivery date pending. I didn't get prime for nothing.,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2318392,"Welche Möglichkeiten hat man, wenn der Account gehackt wurde während man im Urlaub war. Die E-Mail Adresse wurde geändert, aber unbekannt auf welche. Kann man das irgendwie rausfinden? Angeblich soll alles zurückgebucht werden, aber nichts passiert.",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_1345575,"Hey, Amazon asks for monthly statement for my new card, but I have no statement yet, What can I do? My account is on hold now :(",PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_2161774,Are you experiencing any outages in Seattle 98155? Have connection but not working right now!,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_1050430,"Come on, Amazon - 50 percent of the CDs I’ve ordered this month come with broken/cracked cases. There must be a smarter way to ship than bubble wrap envelopes that don’t protect them. #amazon",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_1614520,Amazing customer service from my little boys replacement kindle just arrived after reporting late on Friday!! Amazed 😍,REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_709007,had worst experience shopping with you at recent sale..4 out of my 5 orders had/has issue,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide the current tracking status and apologize for any delivery delays.
case_1191351,Never buying any electronic product from Amazon ever again. Thanks for the hassle &amp; trouble over the past few days,PRODUCT_AVAILABILITY_AND_INQUIRY,False,"Provide details on product availability, features, or direct the user to the correct catalog page."
case_385652,Order Details - Ordered on 1 October 2017 Order# 405-4239698-8457130. Please help!,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2537455,Beyond a joke my account has been locked now 3 times on a week and you still haven't contacted me! Long 24 hours! #amazon #joke,ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_1693564,"Worst experience ever. Rude CSRs, saying they are unable to help when it's clear they can. Loyal customer of 14 years gets this?",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2467217,Is there a way to check the little $5s here and there I've gotten by delaying shipping and see what I haven't used yet?,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2704165,I messed up scratching off the code of my gift card. Can you help please?,PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_781974,please stop cheating #prime members with delivery promises you can fulfill. Worst service among all e-tailor.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide the current tracking status and apologize for any delivery delays.
case_2319948,amazon.in is down?,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_11044,you keep insisting you havnt taken any money from me dispite proof! #givememymoneyback [LINK],SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_416675,"WTFwhy do I keep getting a error with my account saying""there was a problem your password is not correct I havereset the thing 5",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_2405135,Had email with £40 off a Kindle. Website won't allow the code says it's expired.,PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_321393,2 day guarantee must be a soft guarantee... things rarely get here in 2 days. Ordered on 10/3 still not here,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_1491750,my account has been locked. I can't login to access the helpline. Please assist,ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
